workerID,taskID,response,goldLabel,taskContent
A19IBSKBTABMR3,266,1,1,"Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq."
AEX5NCH03LWSG,266,1,1,"Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq."
A17RPF5ZMO75GW,266,1,1,"Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq."
A15L6WGIK3VU7N,266,0,1,"Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq."
A3U7T47F498T1P,266,1,1,"Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq."
AXBQF8RALCIGV,266,1,1,"Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq."
A1DCEOFAUIDY58,266,1,1,"Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq."
A1Q4VUJBMY78YR,266,0,1,"Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq."
A18941IO2ZZWW6,266,1,1,"Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq."
A11GX90QFWDLMM,266,1,1,"Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq."
A19IBSKBTABMR3,934,0,0,The government announced last week that it plans to raise oil prices.
AEX5NCH03LWSG,934,0,0,The government announced last week that it plans to raise oil prices.
A17RPF5ZMO75GW,934,0,0,The government announced last week that it plans to raise oil prices.
A15L6WGIK3VU7N,934,0,0,The government announced last week that it plans to raise oil prices.
A3U7T47F498T1P,934,0,0,The government announced last week that it plans to raise oil prices.
AXBQF8RALCIGV,934,1,0,The government announced last week that it plans to raise oil prices.
A1DCEOFAUIDY58,934,0,0,The government announced last week that it plans to raise oil prices.
A1Q4VUJBMY78YR,934,0,0,The government announced last week that it plans to raise oil prices.
A18941IO2ZZWW6,934,1,0,The government announced last week that it plans to raise oil prices.
A11GX90QFWDLMM,934,1,0,The government announced last week that it plans to raise oil prices.
A19IBSKBTABMR3,961,1,1,Seiler was reported missing March 27 and was found four days later in a marsh near her campus apartment.
AEX5NCH03LWSG,961,0,1,Seiler was reported missing March 27 and was found four days later in a marsh near her campus apartment.
A17RPF5ZMO75GW,961,1,1,Seiler was reported missing March 27 and was found four days later in a marsh near her campus apartment.
A15L6WGIK3VU7N,961,0,1,Seiler was reported missing March 27 and was found four days later in a marsh near her campus apartment.
A3U7T47F498T1P,961,0,1,Seiler was reported missing March 27 and was found four days later in a marsh near her campus apartment.
AXBQF8RALCIGV,961,0,1,Seiler was reported missing March 27 and was found four days later in a marsh near her campus apartment.
A1DCEOFAUIDY58,961,1,1,Seiler was reported missing March 27 and was found four days later in a marsh near her campus apartment.
A1Q4VUJBMY78YR,961,1,1,Seiler was reported missing March 27 and was found four days later in a marsh near her campus apartment.
A18941IO2ZZWW6,961,1,1,Seiler was reported missing March 27 and was found four days later in a marsh near her campus apartment.
A11GX90QFWDLMM,961,1,1,Seiler was reported missing March 27 and was found four days later in a marsh near her campus apartment.
A19IBSKBTABMR3,1814,1,1,"Afghanistan&apos;s first post-Taliban elections have been delayed for a second time amid increasing violence towards voters and officials, it was announced on Friday."
AEX5NCH03LWSG,1814,1,1,"Afghanistan&apos;s first post-Taliban elections have been delayed for a second time amid increasing violence towards voters and officials, it was announced on Friday."
A17RPF5ZMO75GW,1814,1,1,"Afghanistan&apos;s first post-Taliban elections have been delayed for a second time amid increasing violence towards voters and officials, it was announced on Friday."
A15L6WGIK3VU7N,1814,1,1,"Afghanistan&apos;s first post-Taliban elections have been delayed for a second time amid increasing violence towards voters and officials, it was announced on Friday."
A3U7T47F498T1P,1814,1,1,"Afghanistan&apos;s first post-Taliban elections have been delayed for a second time amid increasing violence towards voters and officials, it was announced on Friday."
AXBQF8RALCIGV,1814,0,1,"Afghanistan&apos;s first post-Taliban elections have been delayed for a second time amid increasing violence towards voters and officials, it was announced on Friday."
A1DCEOFAUIDY58,1814,1,1,"Afghanistan&apos;s first post-Taliban elections have been delayed for a second time amid increasing violence towards voters and officials, it was announced on Friday."
A1Q4VUJBMY78YR,1814,1,1,"Afghanistan&apos;s first post-Taliban elections have been delayed for a second time amid increasing violence towards voters and officials, it was announced on Friday."
